channel_name,channel_url,video_id,url,raw_duration,duration_sec,live_broadcast_content,included,excluded_reason
target_channel,https://www.youtube.com/@example,iliFIM9fFOY,https://www.youtube.com/watch?v=iliFIM9fFOY,PT1M16S,76,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,zk73HqcZWCo,https://www.youtube.com/watch?v=zk73HqcZWCo,PT4M1S,241,none,True,
target_channel,https://www.youtube.com/@example,h4pZFv_E0bE,https://www.youtube.com/watch?v=h4pZFv_E0bE,PT3M32S,212,none,True,
target_channel,https://www.youtube.com/@example,0wyoKWgy3SE,https://www.youtube.com/watch?v=0wyoKWgy3SE,PT3M43S,223,none,True,
target_channel,https://www.youtube.com/@example,XTp8p3iNFtc,https://www.youtube.com/watch?v=XTp8p3iNFtc,PT1M31S,91,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,_EEWIWmwauQ,https://www.youtube.com/watch?v=_EEWIWmwauQ,PT3M11S,191,none,True,
target_channel,https://www.youtube.com/@example,0487DprVlqo,https://www.youtube.com/watch?v=0487DprVlqo,PT4M47S,287,none,True,
target_channel,https://www.youtube.com/@example,jluab6Qok0k,https://www.youtube.com/watch?v=jluab6Qok0k,PT5M11S,311,none,True,
target_channel,https://www.youtube.com/@example,Zhj6WSHehWA,https://www.youtube.com/watch?v=Zhj6WSHehWA,PT5M7S,307,none,True,
target_channel,https://www.youtube.com/@example,pzSQUZKuhsw,https://www.youtube.com/watch?v=pzSQUZKuhsw,PT5M2S,302,none,True,
target_channel,https://www.youtube.com/@example,nZJs4ZEP850,https://www.youtube.com/watch?v=nZJs4ZEP850,PT3M31S,211,none,True,
target_channel,https://www.youtube.com/@example,4QM2jD5tFC0,https://www.youtube.com/watch?v=4QM2jD5tFC0,PT4M12S,252,none,True,
target_channel,https://www.youtube.com/@example,gLkwMO0Qegg,https://www.youtube.com/watch?v=gLkwMO0Qegg,PT4M19S,259,none,True,
target_channel,https://www.youtube.com/@example,UUoNJaBH6a8,https://www.youtube.com/watch?v=UUoNJaBH6a8,PT1M54S,114,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,WZXB8Xic4Jw,https://www.youtube.com/watch?v=WZXB8Xic4Jw,PT2M9S,129,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,j_2kVtUCj-E,https://www.youtube.com/watch?v=j_2kVtUCj-E,PT3M25S,205,none,True,
target_channel,https://www.youtube.com/@example,fC91aOJzByU,https://www.youtube.com/watch?v=fC91aOJzByU,PT2M26S,146,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,5A53vue89q0,https://www.youtube.com/watch?v=5A53vue89q0,PT5M23S,323,none,True,
target_channel,https://www.youtube.com/@example,KnGp_tgdZsM,https://www.youtube.com/watch?v=KnGp_tgdZsM,PT5M7S,307,none,True,
target_channel,https://www.youtube.com/@example,PqypvhXD2-Y,https://www.youtube.com/watch?v=PqypvhXD2-Y,PT3M27S,207,none,True,
target_channel,https://www.youtube.com/@example,iOENeWz5f7o,https://www.youtube.com/watch?v=iOENeWz5f7o,PT5M33S,333,none,True,
target_channel,https://www.youtube.com/@example,Y9XuoZZWi3g,https://www.youtube.com/watch?v=Y9XuoZZWi3g,PT3M32S,212,none,True,
target_channel,https://www.youtube.com/@example,5kgYaSwmw6I,https://www.youtube.com/watch?v=5kgYaSwmw6I,PT14S,14,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,3arK08SrX5w,https://www.youtube.com/watch?v=3arK08SrX5w,PT15S,15,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,tMwQ56-e4x8,https://www.youtube.com/watch?v=tMwQ56-e4x8,PT16S,16,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,dp69s7BeLls,https://www.youtube.com/watch?v=dp69s7BeLls,PT16S,16,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,d-HRyaTvE0A,https://www.youtube.com/watch?v=d-HRyaTvE0A,PT15S,15,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,sm2V6vpNMfk,https://www.youtube.com/watch?v=sm2V6vpNMfk,PT15S,15,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,wMgnh0IjhjY,https://www.youtube.com/watch?v=wMgnh0IjhjY,PT15S,15,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,taOxW1W2fSA,https://www.youtube.com/watch?v=taOxW1W2fSA,PT16S,16,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,nw336nvus_M,https://www.youtube.com/watch?v=nw336nvus_M,PT26M24S,1584,none,True,
target_channel,https://www.youtube.com/@example,OsmhhLjK8k4,https://www.youtube.com/watch?v=OsmhhLjK8k4,PT3M59S,239,none,True,
target_channel,https://www.youtube.com/@example,Vz3pdjd8So8,https://www.youtube.com/watch?v=Vz3pdjd8So8,PT4M24S,264,none,True,
target_channel,https://www.youtube.com/@example,OZuuDqqhhoQ,https://www.youtube.com/watch?v=OZuuDqqhhoQ,PT4M20S,260,none,True,
target_channel,https://www.youtube.com/@example,Gc2qmOnhKEU,https://www.youtube.com/watch?v=Gc2qmOnhKEU,PT4M31S,271,none,True,
target_channel,https://www.youtube.com/@example,IJj8B2Bwk_c,https://www.youtube.com/watch?v=IJj8B2Bwk_c,PT4M35S,275,none,True,
target_channel,https://www.youtube.com/@example,t8KkrztYkbw,https://www.youtube.com/watch?v=t8KkrztYkbw,PT4M4S,244,none,True,
target_channel,https://www.youtube.com/@example,qBBrHsrecN4,https://www.youtube.com/watch?v=qBBrHsrecN4,PT4M50S,290,none,True,
target_channel,https://www.youtube.com/@example,3jFJxanNIk8,https://www.youtube.com/watch?v=3jFJxanNIk8,PT4M23S,263,none,True,
target_channel,https://www.youtube.com/@example,R1vOHqwpbec,https://www.youtube.com/watch?v=R1vOHqwpbec,PT4M40S,280,none,True,
target_channel,https://www.youtube.com/@example,EiNXtIh2cR4,https://www.youtube.com/watch?v=EiNXtIh2cR4,PT3M58S,238,none,True,
target_channel,https://www.youtube.com/@example,MrS7E-4wnXY,https://www.youtube.com/watch?v=MrS7E-4wnXY,PT5M51S,351,none,True,
target_channel,https://www.youtube.com/@example,RbNo_ue9ALY,https://www.youtube.com/watch?v=RbNo_ue9ALY,PT4M14S,254,none,True,
target_channel,https://www.youtube.com/@example,C8viHpAl1yQ,https://www.youtube.com/watch?v=C8viHpAl1yQ,PT3M13S,193,none,True,
target_channel,https://www.youtube.com/@example,q1pl4dSw4iU,https://www.youtube.com/watch?v=q1pl4dSw4iU,PT3M38S,218,none,True,
target_channel,https://www.youtube.com/@example,HmVTK-4Mawk,https://www.youtube.com/watch?v=HmVTK-4Mawk,PT3M28S,208,none,True,
target_channel,https://www.youtube.com/@example,LI7hmsQXKh8,https://www.youtube.com/watch?v=LI7hmsQXKh8,PT6M34S,394,none,True,
target_channel,https://www.youtube.com/@example,idGjmZkJB_Q,https://www.youtube.com/watch?v=idGjmZkJB_Q,PT4M14S,254,none,True,
target_channel,https://www.youtube.com/@example,MOlGOrBuBeA,https://www.youtube.com/watch?v=MOlGOrBuBeA,PT16M3S,963,none,True,
target_channel,https://www.youtube.com/@example,qMsmdQ2oTN4,https://www.youtube.com/watch?v=qMsmdQ2oTN4,PT3M55S,235,none,True,
target_channel,https://www.youtube.com/@example,Xbnfrkqo68g,https://www.youtube.com/watch?v=Xbnfrkqo68g,PT4M7S,247,none,True,
target_channel,https://www.youtube.com/@example,JkAqlePnKRM,https://www.youtube.com/watch?v=JkAqlePnKRM,PT4M7S,247,none,True,
target_channel,https://www.youtube.com/@example,Wc6dZL3TgJs,https://www.youtube.com/watch?v=Wc6dZL3TgJs,PT3M48S,228,none,True,
target_channel,https://www.youtube.com/@example,Fl80eAcPFeU,https://www.youtube.com/watch?v=Fl80eAcPFeU,PT4M40S,280,none,True,
target_channel,https://www.youtube.com/@example,HdoP2UmnEBM,https://www.youtube.com/watch?v=HdoP2UmnEBM,PT3M46S,226,none,True,
target_channel,https://www.youtube.com/@example,byur8pWXbFQ,https://www.youtube.com/watch?v=byur8pWXbFQ,PT3M37S,217,none,True,
target_channel,https://www.youtube.com/@example,cwCYqkcclxI,https://www.youtube.com/watch?v=cwCYqkcclxI,PT5M41S,341,none,True,
target_channel,https://www.youtube.com/@example,LBEs4w1e4dY,https://www.youtube.com/watch?v=LBEs4w1e4dY,PT3M29S,209,none,True,
target_channel,https://www.youtube.com/@example,8GOeT5O4nDk,https://www.youtube.com/watch?v=8GOeT5O4nDk,PT3M23S,203,none,True,
target_channel,https://www.youtube.com/@example,hW9daD96zvs,https://www.youtube.com/watch?v=hW9daD96zvs,PT4M20S,260,none,True,
target_channel,https://www.youtube.com/@example,iwYGi7YG4Js,https://www.youtube.com/watch?v=iwYGi7YG4Js,PT4M4S,244,none,True,
target_channel,https://www.youtube.com/@example,rnUk8QcE21s,https://www.youtube.com/watch?v=rnUk8QcE21s,PT3M9S,189,none,True,
target_channel,https://www.youtube.com/@example,_VDJcSpNbP4,https://www.youtube.com/watch?v=_VDJcSpNbP4,PT2M47S,167,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,__tgCiBnrM4,https://www.youtube.com/watch?v=__tgCiBnrM4,PT3M8S,188,none,True,
target_channel,https://www.youtube.com/@example,5KRGT5i2YR0,https://www.youtube.com/watch?v=5KRGT5i2YR0,PT2M42S,162,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,Q7puV9UWP6M,https://www.youtube.com/watch?v=Q7puV9UWP6M,PT1M54S,114,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,ZfudBVrJbcg,https://www.youtube.com/watch?v=ZfudBVrJbcg,PT2M30S,150,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,WSMAfah5Tdw,https://www.youtube.com/watch?v=WSMAfah5Tdw,PT3M45S,225,none,True,
target_channel,https://www.youtube.com/@example,l8CXuk0vZzg,https://www.youtube.com/watch?v=l8CXuk0vZzg,PT2M48S,168,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,q40Qd6PHHrc,https://www.youtube.com/watch?v=q40Qd6PHHrc,PT3M39S,219,none,True,
target_channel,https://www.youtube.com/@example,ccwqGYvv44M,https://www.youtube.com/watch?v=ccwqGYvv44M,PT2M57S,177,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,gn_ATXAc6c0,https://www.youtube.com/watch?v=gn_ATXAc6c0,PT3M27S,207,none,True,
target_channel,https://www.youtube.com/@example,MqrYZSMqDZY,https://www.youtube.com/watch?v=MqrYZSMqDZY,PT2M13S,133,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,VHxo-hbwveA,https://www.youtube.com/watch?v=VHxo-hbwveA,PT1M48S,108,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,sAlK_kxTI40,https://www.youtube.com/watch?v=sAlK_kxTI40,PT1M42S,102,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,RF69gluCoMw,https://www.youtube.com/watch?v=RF69gluCoMw,PT3M20S,200,none,True,
target_channel,https://www.youtube.com/@example,MrTbux3Q3BQ,https://www.youtube.com/watch?v=MrTbux3Q3BQ,PT10M2S,602,none,True,
target_channel,https://www.youtube.com/@example,f5CcOq8UzkI,https://www.youtube.com/watch?v=f5CcOq8UzkI,PT3M31S,211,none,True,
